station,number,line
Tha Phra,BL01,BL
Charan 13,BL02,BL
Fai Chai,BL03,BL
Bang Khun Non,BL04,BL
Bang Yi Khan,BL05,BL
Sirindhorn,BL06,BL
Bang Phlat,BL07,BL
Bang O,BL08,BL
Bang Pho,BL09,BL
Tao Poon,BL10,BL
Bang Sue,BL11,BL
Kamphaeng Phet,BL12,BL
Chatuchak Park,BL13,BL
Phahon Yothin,BL14,BL
Lat Phrao,BL15,BL
Ratchadaphisek,BL16,BL
Sutthisan,BL17,BL
Huai Khwang,BL18,BL
Thailand Cultural Centre,BL19,BL
Phra Ram 9,BL20,BL
Phetchaburi,BL21,BL
Sukhumvit,BL22,BL
Queen Sirikit National Convention Centre,BL23,BL
Khlong Toei,BL24,BL
Lumphini,BL25,BL
Si Lom,BL26,BL
Sam Yan,BL27,BL
Hua Lamphong,BL28,BL
Wat Mangkon,BL29,BL
Sam Yot,BL30,BL
Sanam Chai,BL31,BL
Itsaraphap,BL32,BL
Bang Phai,BL33,BL
Bang Wa,BL34,BL
Phetkasem 48,BL35,BL
Phasi Charoen,BL36,BL
Bang Khae,BL37,BL
Lak Song,BL38,BL
Phutthamonthon Sai 2,BL39,BL
Thawi Watthana,BL40,BL
Phutthamonthon Sai 3,BL41,BL
Phutthamonthon Sai 4,BL42,BL
Bang Khun Non,OR01,OR
Siriraj,OR02,OR
Sanam Luang,OR03,OR
Democracy Monument,OR04,OR
Lan Luang,OR05,OR
Yommarat,OR06,OR
Ratchathewi,OR07,OR
Pratunam,OR08,OR
Ratchaprarop,OR09,OR
Rang Nam,OR10,OR
Din Daeng,OR11,OR
Phracha Songkhro,OR12,OR
Thailand Cultural Centre,OR13,OR
MRTA,OR14,OR
Wat Phra Ram 9,OR15,OR
Ramkhamhaeng 12,OR16,OR
Ramkhamhaeng University,OR17,OR
Rajamangala,OR18,OR
Ramkhamhaeng 34,OR19,OR
Yaek Lam Sali,OR20,OR
Sri Burapha,OR21,OR
Khlong Ban Ma,OR22,OR
Sammakon,OR23,OR
Nom Klao,OR24,OR
Rat Phatthana,OR25,OR
Wat Bang Pheng,OR26,OR
Kheha RakhamHaeng,OR27,OR
Min Buri,OR28,OR
Yaek Rom Klao,OR29,OR
Khlong Bang Phai,PP01,PP
Talad Bang Yai,PP02,PP
Sam Yaek Bang Yai,PP03,PP
Bang Phlu,PP04,PP
Bang Rak Yai,PP05,PP
Bang Rak Noi Tha It,PP06,PP
Sai Ma,PP07,PP
Phra Nang Klao Bridge,PP08,PP
Yaek Nonthaburi 1,PP09,PP
Bang Krasor,PP10,PP
Nonthaburi Civic Center,PP11,PP
Ministry of Public Health,PP12,PP
Yaek Tiwanon,PP13,PP
Wong Sawang,PP14,PP
Bang Son,PP15,PP
Tao Poon,PP16,PP
Parliament House,PP17,PP
Sri Yan,PP18,PP
Vajira Hospital,PP19,PP
National Library,PP20,PP
Bang Khun Phrom,PP21,PP
Phan Fa,PP22,PP
Sam Yot,PP23,PP
Memorial Bridge,PP24,PP
Wong Wian Yai,PP25,PP
Sam Rae,PP26,PP
Dao Khanong,PP27,PP
Bang Pakaeo,PP28,PP
Bang Pakok,PP29,PP
Rama 9 Bridge,PP30,PP
Rat Burana,PP31,PP
Phra Pradaeng,PP32,PP
Kru Nai,PP33,PP
